2026-01-02 17:29:44,179 | INFO | libs.flows.windows.wja.wja_device_tree_page | Caching tree item: \New (Last Discovery)
2026-01-02 17:29:44,284 | INFO | libs.flows.windows.wja.wja_device_tree_page | Selecting tree item: new
2026-01-02 17:29:45,380 | INFO | libs.flows.windows.wja.wja_device_tree_page | Caching tree item: \Ungrouped Devices
2026-01-02 17:29:45,493 | INFO | libs.flows.windows.wja.wja_device_tree_page | Selecting tree item: ungrouped
2026-01-02 17:29:46,594 | INFO | pytest | ⏱ windows/wja/test_wja3_tree_navigate.py::test_device_navigation_tree_items took 39.31s
2026-01-02 17:29:55,877 | INFO | libs.flows.windows.wja.wja_navigation_page | Navigating to Overview
2026-01-02 17:29:58,313 | INFO | libs.flows.windows.wja.wja_navigation_page | Navigating to Groups
2026-01-02 17:29:59,996 | INFO | libs.flows.windows.wja.wja_navigation_page | Navigating to Discovery
2026-01-02 17:30:01,918 | INFO | libs.flows.windows.wja.wja_navigation_page | Navigating to Configuration
2026-01-02 17:30:03,456 | INFO | pytest | ⏱ windows/wja/test_wja4_navigation.py::test_quick_device_discovery took 15.85s
2026-01-02 17:31:07,876 | INFO | pytest | ⏱ windows/wja/test_wja5_group_create.py::test_create_and_delete_group took 63.41s
2026-01-02 17:31:07,880 | INFO | pytest | 🛑 Closing HP Web Jetadmin
2026-01-02 17:32:20,578 | INFO | pytest | 🚀 Launching HP Web Jetadmin (session)
2026-01-02 17:33:40,865 | INFO | libs.flows.windows.wja.base_page | Resolving HP Web Jetadmin main window
2026-01-02 17:33:41,033 | INFO | libs.flows.windows.wja.wja_main_page | WJA main window is visible
2026-01-02 17:33:41,045 | INFO | pytest | ⏱ windows/wja/test_wja1_launch.py::test_wja_launch took 0.17s
2026-01-02 17:33:44,610 | INFO | libs.flows.windows.wja.wja_main_page | Opened About dialog
2026-01-02 17:33:45,665 | INFO | libs.flows.windows.wja.wja_main_page | Closed About dialog
2026-01-02 17:33:45,680 | INFO | pytest | ⏱ windows/wja/test_wja2_help_about.py::test_help_about_flow took 3.50s
2026-01-02 17:33:50,733 | INFO | libs.flows.windows.wja.wja_main_page | Opened About dialog
2026-01-02 17:33:53,052 | INFO | libs.flows.windows.wja.wja_main_page | Opened About details and closed
2026-01-02 17:33:53,072 | INFO | pytest | ⏱ windows/wja/test_wja2_help_about.py::test_help_about_details_flow took 5.94s
2026-01-02 17:33:54,130 | INFO | libs.flows.windows.wja.wja_device_tree_page | Resolving TreeView once
2026-01-02 17:34:14,402 | INFO | libs.flows.windows.wja.wja_device_tree_page | Caching tree item: \All Devices
2026-01-02 17:34:14,522 | INFO | libs.flows.windows.wja.wja_device_tree_page | Selecting tree item: all
2026-01-02 17:34:18,310 | INFO | libs.flows.windows.wja.wja_device_tree_page | Caching tree item: \Error Devices
2026-01-02 17:34:18,426 | INFO | libs.flows.windows.wja.wja_device_tree_page | Selecting tree item: error
2026-01-02 17:34:19,547 | INFO | libs.flows.windows.wja.wja_device_tree_page | Caching tree item: \Warning Devices
2026-01-02 17:34:19,656 | INFO | libs.flows.windows.wja.wja_device_tree_page | Selecting tree item: warning
2026-01-02 17:34:20,758 | INFO | libs.flows.windows.wja.wja_device_tree_page | Caching tree item: \New (Last Discovery)
